Price,Close,High,Low,Open,Volume
Ticker,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS
Date,,,,,
2002-11-14,12.13727855682373,12.227720274832848,11.739334997583608,11.869571292321714,27433208
2002-11-15,12.343483924865723,12.44477818944904,12.15898263206605,12.310924028941024,15624544
2002-11-18,12.300069808959961,12.632895668929867,12.238569018305348,12.444776512594785,17654152
2002-11-19,12.300069808959961,12.300069808959961,12.300069808959961,12.300069808959961,0
2002-11-20,12.875284194946289,12.98743215862521,12.22772164238251,12.28198667925699,37062272
2002-11-21,13.33471965789795,13.602426772509508,13.139365877182719,13.168306769131545,23185296
2002-11-22,13.114046096801758,13.739902199949618,13.023604399582434,13.537313681398036,21492816
2002-11-25,13.153841018676758,13.305782411682927,12.87889803091961,13.034457312716924,10388360
2002-11-26,13.483047485351562,13.559017621160269,13.16830996491011,13.16830996491011,11754608
2002-11-27,13.13936710357666,13.522838925800036,13.038071764252605,13.450485585150439,8908992
2002-11-28,13.530078887939453,13.7326685252483,13.356431258260272,13.381754272908438,12495768
2002-11-29,13.530078887939453,13.530078887939453,13.530078887939453,13.530078887939453,0
2002-12-02,14.047402381896973,14.159550294571227,13.837578109686685,13.967814359759226,14102072
2002-12-03,13.696486473083496,14.354901156129765,13.407073134419393,13.949723144414586,21740120
2002-12-04,12.853572845458984,13.38537043685747,12.618424445892568,13.38537043685747,15780520
2002-12-05,13.226191520690918,13.34919198484121,12.95124859233917,12.95124859233917,10315624
2002-12-06,13.631373405456543,13.718198325918785,13.258754020567537,13.385372408212792,9221272
2002-12-09,13.786930084228516,14.304256058380902,13.642223394504835,13.855665541042379,15792496
2002-12-10,13.985898971557617,14.108899412295868,13.338336886003237,13.63136699057771,9235680
2002-12-11,13.77246379852295,14.304260381568094,13.613285508498787,14.181259878933318,10511288
2002-12-12,13.725425720214844,14.011221137085437,13.57710118112277,13.812249490602548,10864768
2002-12-13,13.464959144592285,13.85566680075843,13.269604212484685,13.747136773598443,16367960
2002-12-16,13.175546646118164,13.689254814302023,13.103193289695822,13.443253844075905,11386832
2002-12-17,13.255132675170898,13.52645772080359,13.135750096702289,13.385368917879479,10133536
2002-12-18,13.819491386413574,14.011227343620456,13.284076978497456,13.309399991398095,23503976
2002-12-19,13.674786567687988,13.783316619812496,13.475814805459724,13.747139935770994,8090192
2002-12-20,13.884604454040527,13.985899784792297,13.609662666058949,13.747133560049738,12542248
2002-12-23,13.450494766235352,14.018469319634457,13.360053028689322,13.92802758208843,8573112
2002-12-24,13.606049537658691,13.667549231103115,13.36004745180703,13.530078289027669,5946928
2002-12-25,13.606049537658691,13.606049537658691,13.606049537658691,13.606049537658691,0
2002-12-26,13.609662055969238,13.870133386174029,13.331101288919443,13.606044168600238,17415336
2002-12-27,13.544548034667969,13.819491008522018,13.472194678602408,13.674784296390897,4957344
2002-12-30,13.53369426727295,13.62051806601235,13.349193004936406,13.62051806601235,5365096
2002-12-31,13.519230842590332,13.779702374146542,13.461347912013926,13.530083409062437,5949960
2003-01-01,13.653080940246582,13.729052200898415,13.49752163359864,13.59519802241543,3627712
2003-01-02,13.237041473388672,13.964192659083619,13.059776036085974,13.768838889320966,14027816
2003-01-03,13.26960277557373,13.580722373880734,13.211720983909142,13.45772191055687,4479264
2003-01-06,13.222574234008789,13.414310162960554,13.110426324762235,13.414310162960554,3355768
2003-01-07,13.114046096801758,13.530077904010641,13.03084017696983,13.334724058821829,6081448
2003-01-08,13.13936710357666,13.313014679525947,12.965718423603008,13.233425563201646,5460784
2003-01-09,13.005511283874512,13.298542496054552,12.907833845139757,13.20448294468483,5185600
2003-01-10,12.499044418334961,13.284078908795436,12.379661801824744,13.2044897617721,10310688
2003-01-13,12.441158294677734,12.535217870353978,12.06130320769731,12.415835284627075,4775728
2003-01-14,12.705252647399902,12.871664520861781,10.925359243019843,10.925359243019843,5004016
2003-01-15,12.452010154724121,12.864423968577892,12.408597709466104,12.799305300690868,4617656
2003-01-16,12.390512466430664,12.517130842000029,12.267511979539634,12.437541707175152,3610912
2003-01-17,12.173455238342285,12.401367926008875,12.090249299422704,12.401367926008875,4117864
2003-01-20,11.981711387634277,12.263888921202732,11.938298949843366,12.227712257718357,2579616
